country_a,country_b,total_trade_usd,mutual_benefit_pct,gdp_loss_pct_a,gdp_loss_pct_b
France,Russia,8,1.499274291225006e-10,1.8817831010494893e-12,4.657430651239747e-12
Canada,Iran,4,1.4935629884776954e-10,1.3690873176647037e-12,9.207784346515542e-12
Bangladesh,Canada,4,1.4862304525863096e-10,1.659292175673836e-11,1.3690873176647037e-12
Canada,France,8,1.4805678328145036e-10,2.7381746353294075e-12,1.8817831010494893e-12
France,Italy,8,1.4453860115160627e-10,1.8817831010494893e-12,2.6683990597609704e-12
Germany,UK,12,1.4451278583377846e-10,1.6025619995061196e-12,2.638492408190716e-12
Russia,Sweden,4,1.4368055570339681e-10,2.3287153256198736e-12,3.1275874764571955e-12
Belgium,Russia,4,1.409244650749511e-10,1.89929636660146e-12,2.3287153256198736e-12
Germany,India,12,1.399806160948091e-10,1.6025619995061196e-12,3.432809157143505e-12
Russia,UK,8,1.3751209687470268e-10,4.657430651239747e-12,1.7589949387938104e-12
Canada,India,8,1.2999803021429942e-10,2.7381746353294075e-12,2.2885394380956697e-12
Japan,Russia,8,1.2903128766976477e-10,2.2003778502716415e-12,4.657430651239747e-12
Russia,Saudi Arabia,4,1.1725509320980058e-10,2.3287153256198736e-12,2.9488875223525585e-12
Germany,Russia,8,1.1706577314171188e-10,1.0683746663374131e-12,4.657430651239747e-12
Australia,Australia,4,1.1414265718148128e-10,2.412438278341355e-12,2.412438278341355e-12
Afghanistan,UK,4,1.0926017027573516e-10,1.725286087307013e-10,8.794974693969052e-13
Iran,UK,4,9.802142478674995e-11,9.207784346515542e-12,8.794974693969052e-13
Bangladesh,UK,4,9.770506404621547e-11,1.659292175673836e-11,8.794974693969052e-13
India,Iran,4,9.196263787392385e-11,1.1442697190478349e-12,9.207784346515542e-12
Bangladesh,India,4,9.168412193819278e-11,1.659292175673836e-11,1.1442697190478349e-12
Canada,Russia,4,9.05983993957302e-11,1.3690873176647037e-12,2.3287153256198736e-12
China,Sri Lanka,16,8.491322185619087e-11,1.1473813242162476e-12,1.9066723251269391e-10
China,Portugal,16,8.397854007083418e-11,1.1473813242162476e-12,2.843563229463224e-11
China,Pakistan,16,8.369568759418829e-11,1.1473813242162476e-12,7.803887742099943e-11
China,Israel,16,8.296955034908283e-11,1.1473813242162476e-12,2.7187980206928677e-11
Belgium,China,16,8.243867044330364e-11,7.59718546640584e-12,1.1473813242162476e-12
China,Saudi Arabia,16,8.00747376062292e-11,1.1473813242162476e-12,1.1795550089410234e-11
China,Spain,16,7.817634464603838e-11,1.1473813242162476e-12,6.605143878287856e-12
Australia,China,16,7.806402590384943e-11,9.64975311336542e-12,1.1473813242162476e-12
China,Italy,16,7.576985349236496e-11,1.1473813242162476e-12,5.336798119521941e-12
